customer_id,payment_date,amount,plan,status
C100000,2025-01-31,399,Standard,Success
C100000,2025-02-28,399,Standard,Success
C100000,2025-03-31,399,Standard,Success
C100000,2025-04-30,399,Standard,Success
C100000,2025-05-31,399,Standard,Success
C100000,2025-06-30,399,Standard,Late
C100000,2025-07-31,199,Standard,Success
C100000,2025-08-31,399,Standard,Success
C100000,2025-09-30,399,Standard,Success
C100000,2025-10-31,399,Standard,Success
C100001,2024-11-30,699,Premium,Success
C100001,2024-12-31,699,Premium,Success
C100001,2025-01-31,699,Premium,Success
C100001,2025-02-28,699,Premium,Late
C100001,2025-03-31,699,Premium,Success
C100001,2025-04-30,699,Premium,Success
C100001,2025-05-31,699,Premium,Success
C100001,2025-06-30,699,Premium,Success
C100001,2025-07-31,699,Premium,Success
C100001,2025-08-31,699,Premium,Success
C100001,2025-09-30,699,Premium,Success
C100001,2025-10-31,699,Premium,Success
C100002,2025-07-31,199,Basic,Success
C100002,2025-08-31,199,Basic,Success
C100002,2025-09-30,199,Basic,Success
C100002,2025-10-31,199,Basic,Success
C100003,2025-03-31,199,Basic,Success
C100003,2025-04-30,199,Basic,Success
C100003,2025-05-31,199,Basic,Success
C100003,2025-06-30,199,Basic,Success
C100003,2025-07-31,199,Basic,Late
C100003,2025-08-31,199,Basic,Success
C100003,2025-09-30,199,Basic,Success
C100003,2025-10-31,199,Basic,Late
C100004,2025-03-31,699,Premium,Success
C100004,2025-04-30,699,Premium,Late
C100004,2025-05-31,699,Premium,Success
C100004,2025-06-30,699,Premium,Success
C100004,2025-07-31,699,Premium,Success
C100004,2025-08-31,699,Premium,Success
C100004,2025-09-30,699,Premium,Success
C100004,2025-10-31,699,Premium,Success
C100005,2025-04-30,199,Basic,Success
C100005,2025-05-31,199,Basic,Success
C100005,2025-06-30,199,Basic,Success
C100005,2025-07-31,0,Basic,Failed
C100005,2025-08-31,199,Basic,Success
C100005,2025-09-30,199,Basic,Success
C100005,2025-10-31,199,Basic,Failed
C100006,2025-02-28,399,Standard,Success
C100006,2025-03-31,399,Standard,Success
C100006,2025-04-30,399,Standard,Success
C100006,2025-05-31,399,Standard,Success
C100006,2025-06-30,399,Standard,Success
C100006,2025-07-31,399,Standard,Success
C100006,2025-08-31,399,Standard,Success
C100006,2025-09-30,399,Standard,Success
C100006,2025-10-31,399,Standard,Success
C100007,2025-05-31,199,Basic,Success
C100007,2025-06-30,199,Basic,Success
C100007,2025-07-31,199,Basic,Success
C100007,2025-08-31,199,Basic,Success
C100007,2025-09-30,199,Basic,Success
C100007,2025-10-31,199,Basic,Late
C100008,2024-11-30,699,Premium,Success
C100008,2024-12-31,699,Premium,Success
C100008,2025-01-31,699,Premium,Success
C100008,2025-02-28,699,Premium,Success
C100008,2025-03-31,699,Premium,Success
C100008,2025-04-30,699,Premium,Success
C100008,2025-05-31,699,Premium,Success
C100008,2025-06-30,699,Premium,Success
C100008,2025-07-31,0,Premium,Failed
C100008,2025-08-31,699,Premium,Success
C100008,2025-09-30,699,Premium,Success
C100008,2025-10-31,0,Premium,Failed
C100009,2025-01-31,399,Standard,Success
C100009,2025-02-28,399,Standard,Success
C100009,2025-03-31,399,Standard,Success
C100009,2025-04-30,0,Standard,Failed
C100009,2025-05-31,399,Standard,Success
