customer_id,date,minutes_watched,pages_viewed,activity_score
C100000,2025-01-31,27,20,69.0
C100000,2025-02-28,36,58,86.5
C100000,2025-03-31,22,13,11.6
C100000,2025-04-30,41,43,55.4
C100000,2025-05-31,71,2,89.6
C100000,2025-06-30,46,30,63.5
C100000,2025-07-31,29,9,79.0
C100000,2025-08-31,69,48,79.5
C100000,2025-09-30,63,0,65.6
C100000,2025-10-31,59,65,83.4
C100001,2024-11-30,226,95,100.0
C100001,2024-12-31,146,79,79.9
C100001,2025-01-31,118,61,100.0
C100001,2025-02-28,23,120,38.9
C100001,2025-03-31,63,119,85.6
C100001,2025-04-30,210,103,100.0
C100001,2025-05-31,171,63,100.0
C100001,2025-06-30,209,37,100.0
C100001,2025-07-31,122,0,93.4
C100001,2025-08-31,34,72,78.6
C100001,2025-09-30,113,140,58.5
C100001,2025-10-31,206,98,84.3
C100002,2025-07-31,41,9,46.1
C100002,2025-08-31,8,8,50.1
C100002,2025-09-30,20,8,69.3
C100002,2025-10-31,16,0,52.3
C100003,2025-03-31,1,12,30.7
C100003,2025-04-30,21,17,38.0
C100003,2025-05-31,28,7,94.4
C100003,2025-06-30,17,4,69.4
C100003,2025-07-31,16,4,45.8
C100003,2025-08-31,19,18,17.7
C100003,2025-09-30,20,13,60.5
C100003,2025-10-31,30,9,56.3
C100004,2025-03-31,173,74,99.9
C100004,2025-04-30,168,42,93.8
C100004,2025-05-31,110,126,22.2
C100004,2025-06-30,162,71,70.4
C100004,2025-07-31,157,89,100.0
C100004,2025-08-31,0,127,35.2
C100004,2025-09-30,178,101,91.8
C100004,2025-10-31,176,53,67.2
C100005,2025-04-30,29,5,42.6
C100005,2025-05-31,16,11,54.2
C100005,2025-06-30,24,1,43.2
C100005,2025-07-31,19,21,54.1
C100005,2025-08-31,28,10,49.7
C100005,2025-09-30,18,8,68.1
C100005,2025-10-31,30,12,83.7
C100006,2025-02-28,36,22,47.5
C100006,2025-03-31,67,23,86.9
C100006,2025-04-30,37,30,76.1
C100006,2025-05-31,10,68,47.7
C100006,2025-06-30,11,32,54.3
C100006,2025-07-31,58,47,84.3
C100006,2025-08-31,67,38,70.2
C100006,2025-09-30,102,3,86.8
C100006,2025-10-31,61,44,53.5
C100007,2025-05-31,6,10,57.6
C100007,2025-06-30,31,2,83.4
C100007,2025-07-31,38,7,36.8
C100007,2025-08-31,16,10,66.6
C100007,2025-09-30,15,19,32.7
C100007,2025-10-31,6,16,6.5
C100008,2024-11-30,128,200,92.4
C100008,2024-12-31,77,67,74.7
C100008,2025-01-31,148,97,78.6
C100008,2025-02-28,234,80,100.0
C100008,2025-03-31,104,124,79.5
